form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,5.753128099999913,,,,,,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
2,Jaki jest twoj wiek?,free text, 20,None,,,,,,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,11.974728400000004,,,,,,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,4.955123100000037,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,7.575027500000033,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,11.908261400000129,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,20.793896700000005,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,nie,23.340243299999884,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,23.859408299999814,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,14.259850100000222,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,9.293059399999947,,,MK,001,2021_Apr_24_1706,eksperyment_latwy,2021.1.2,60.091061995307705,
,,,,,,,,,,519.6320233000001,None,,,,,,,
